Id,"Product Id",Handle,Name,"Short Name","Category Handle",Description,"POS Code",Barcode,Hsn,"Sell by Weight","Sales Price","Markup Price","Aggregator Price","Food Type","Is Recommended","Is Packaged Good","Sort Order",Tags,"Associated Modifier Groups",UrbanPiper,Swiggy,Zomato,Archive?,"Order Cut-Off Time","Advance Order Period"
662360,663430,som-tum-salad,"Som Tum Salad",,heal-salads,"Unripe Papaya, carrots, tomatoes, ginger, coriander, peanuts, sesame seeds and Tamarind  dressing(contains green chilly and garlic)",1155,,,No,128,,,veg,Yes,No,0,,"harvest-bowl-salad, salads, choice-of-drinks, oats-as-dessert",Yes,Yes,Yes,No,,
557751,558501,pita-falafel-and-hummus-platter,"Pita Falafel and Hummus Platter",,heal-mains,"This delicious platter includes 2 whole wheat pitas, 4 baked falafels, a fresh side salad, and 2 types of creamy hummus.",1147,,,No,300,,,veg,Yes,No,0,"HEAL NEW,PC 10","choice-of-drinks, oats-as-dessert",Yes,Yes,Yes,No,,
821753,822980,mooli-paratha,"Mooli Paratha",,heal-parathas,"2 Parathas with Mooli and Onion Filling. Served with Mixed Pickle and Curd.",1156,,,No,180,,,veg,No,No,0,"HEAL NEW,PC 10",,Yes,Yes,Yes,No,,
662008,663078,vegan-tofu-bhurji-with-millet-dosa,"Vegan Tofu Bhurji With Millet Dosa",,healthy-dosa-with-bhurji,"A perfect combination of protein-rich tofu and wholesome gluten-free millet dosa for a delicious and nourishing experience. Dosa is made-up of Ragi, Buckwheat, Jawar and Little Millets.",1149,,,No,210,,,veg,No,No,1,,"choice-of-drinks, oats-as-dessert",Yes,Yes,Yes,No,,
521929,522574,paneer-paratha-with-curd,"Paneer Paratha with Curd",,combo-mafia-breakfast-combo,"2 Paneer Paratha with Curd",1000,,,No,199,,,veg,No,No,1,"Combo Mafia,PC 10",addons,No,Yes,Yes,No,,
521937,522582,paneer-butter-masala-with-rice,"Paneer Butter Masala with Rice",,combo-mafia-rice-combo,"Paneer Butter Masala served with Jeera Rice and kachumber Salad",1008,,,No,199,,,veg,No,No,1,"Combo Mafia,PC 10",rice-combo,No,Yes,Yes,No,,
521943,522588,kadhai-paneer,"Kadhai Paneer with Roti/Tawa Laccha Paratha ",,combo-mafia-indian-combo,"Kadhai Paneer with 4 Tawa Roti/ 2 Tawa Laccha Paratha  and kachumber Salad",1014,,,No,199,,,veg,No,No,1,"Combo Mafia,PC 10","kadhai-paneer, rice-combo",No,Yes,Yes,No,,
521957,522602,chilli-paneer,"Chilli Paneer with Fried Rice/Noodles",,combo-mafia-chinese-combo,"Chilli Paneer with Fried Rice/Noodles",1028,,,No,199,,,veg,No,No,1,"Combo Mafia,PC 10",chilli-paneer,No,Yes,Yes,No,,
521959,522604,veg-grilled-sandwich-french-fries,"Veg. Grilled Sandwich + French Fries",,combo-mafia-sandwich-combo,"Jumbo Bread Veg. Grilled Sandwich + French Fries",1030,,,No,199,,,veg,No,No,1,"Combo Mafia,PC 10",,No,Yes,Yes,No,,
541372,542077,hummus-and-chicken-wrap-2-wraps,"Hummus And Chicken Wrap [2 Wraps]",,heal-salad-wraps,"House made Whole Wheat tortilla wrap containing baby spinach, onion, tomato, cucumber jalapeno, harissa chicken, hummus.",1081,,,No,320,,,non-veg,No,No,1,"HEAL NEW","choice-of-drinks, oats-as-dessert",No,Yes,Yes,No,,
